10 bcdefghi,aihjdc,abd,acbjhgfe,adf,aedg,afdh,agdjbi,ahb,bhd
10 bcdefghi,aihdc,abd,acbhjgfe,adf,aedg,afdjh,agjdbi,ahb,dhg
10 bcdefghi,aihdc,abd,acbhgjfe,adf,aedjg,afjdh,agdbi,ahb,dgf
10 bcdefghi,aihjc,abjhgfed,ace,adcf,aecg,afch,agcjbi,ahb,bhc
10 bcdefghi,aihc,abhjgfed,ace,adcf,aecg,afcjh,agjcbi,ahb,chg
10 bcdefghi,aihc,abhgjfed,ace,adcf,aecjg,afjch,agcbi,ahb,cgf
10 bcdefghi,aihc,abhgfjed,ace,adcjf,aejcg,afch,agcbi,ahb,cfe
10 bcdefghi,aihc,abhgfejd,acje,adjcf,aecg,afch,agcbi,ahb,ced
10 bcdefghij,ajic,abihgfd,acfe,adf,aedcg,afch,agci,ahcbj,aib
10 bcdefghij,ajfedc,abd,acbe,adbf,aebjihg,afh,agfi,ahfj,aifb
10 bcdefghi,aijc,abjid,acie,adihgf,aeg,afeh,agei,ahedcjb,bic
10 bcdefghij,ajc,abjd,acje,adjhgf,aeg,afeh,ageji,ahj,aihedcb
10 bcdefghi,aigc,abgfjed,ace,adcjf,aejcg,afcbih,agi,ahgb,cfe
10 bcdefghi,aigc,abgjfed,ace,adcf,aecjg,afjcbih,agi,ahgb,cgf
10 bcdefghij,ajc,abjed,ace,adcjhgf,aeg,afeh,ageji,ahj,aihecb
10 bcdefghij,ajic,abigfed,ace,adcf,aecg,afcih,agi,ahgcbj,aib
10 bcdefghij,ajhedc,abd,acbe,adbhgf,aeg,afeh,agebji,ahj,aihb
10 bcdefghi,aigdc,abd,acbgfje,adjf,aejdg,afdbih,agi,ahgb,dfe
10 bcdefghi,aigdc,abd,acbgjfe,adf,aedjg,afjdbih,agi,ahgb,dgf
10 bcdefghi,aihjedc,abd,acbe,adbjhgf,aeg,afeh,agejbi,ahb,bhe
10 bcdefghi,aihedc,abd,acbe,adbhjgf,aeg,afejh,agjebi,ahb,ehg
10 bcdefghi,aihedc,abd,acbe,adbhgjf,aejg,afjeh,agebi,ahb,egf
10 bcdefghi,aijhedc,abd,acbe,adbhgf,aeg,afeh,agebji,ahjb,bih
10 bcdefghi,aijc,abjihd,ache,adhgf,aeg,afeh,agedci,ahcjb,bic
10 bcdefghij,ajdc,abd,acbjie,adif,aeihg,afh,agfi,ahfedj,aidb
10 bcdefghij,ajihdc,abd,acbhe,adhgf,aeg,afeh,agedbi,ahbj,aib
10 bcdefghij,ajihc,abhd,achfe,adf,aedhg,afh,agfdcbi,ahbj,aib
10 bcdefghi,aihc,abhgfjd,acjfe,adf,aedjcg,afch,agcbi,ahb,cfd
10 bcdefghi,aihc,abhgjfd,acfe,adf,aedcjg,afjch,agcbi,ahb,cgf
10 bcdefghij,ajfedc,abd,acbe,adbf,aebjg,afjih,agi,ahgj,aigfb
10 bcdefghij,ajdc,abd,acbje,adjif,aeihg,afh,agfi,ahfej,aiedb
10 bcdefghi,aijhc,abhgd,acgfe,adf,aedg,afdch,agcbji,ahjb,bih
10 bcdefghij,ajic,abigd,acgfe,adf,aedg,afdcih,agi,ahgcbj,aib
10 bcdefghij,ajigfc,abfed,ace,adcf,aecbg,afbih,agi,ahgbj,aib
10 bcdefghi,aihc,abhgd,acgjfe,adf,aedjg,afjdch,agcbi,ahb,dgf
10 bcdefghi,aihc,abhgjd,acjgfe,adf,aedg,afdjch,agcbi,ahb,cgd
10 bcdefghij,ajedc,abd,acbe,adbjif,aeihg,afh,agfi,ahfej,aieb
10 bcdefghij,ajdc,abd,acbjie,adigf,aeg,afeih,agi,ahgedj,aidb
10 bcdefghij,ajic,abihed,ace,adchf,aehg,afh,agfeci,ahcbj,aib
10 bcdefghi,aigfc,abfd,acfe,adf,aedcbg,afbijh,agji,ahjgb,gih
10 bcdefghi,aijgfc,abfd,acfe,adf,aedcbg,afbjih,agi,ahgjb,big
10 bcdefghij,ajgfc,abfd,acfe,adf,aedcbg,afbjih,agi,ahgj,aigb
10 bcdefghij,ajc,abjd,acjhe,adhf,aehg,afh,agfedji,ahj,aihdcb
10 bcdefghi,aijedc,abd,acbe,adbjif,aeig,afih,agi,ahgfejb,bie
10 bcdefghi,aiedc,abd,acbe,adbijf,aejig,afih,agi,ahgfjeb,eif
10 bcdefghij,ajedc,abd,acbe,adbjf,aejg,afjh,agji,ahj,aihgfeb
10 bcdefghi,aihjgfc,abfed,ace,adcf,aecbg,afbjh,agjbi,ahb,bhg
10 bcdefghi,aijhgfc,abfed,ace,adcf,aecbg,afbh,agbji,ahjb,bih
10 bcdefghij,ajihedc,abd,acbe,adbhgf,aeg,afeh,agebi,ahbj,aib
10 bcdefghi,aijc,abjifed,ace,adcf,aecig,afih,agi,ahgfcjb,bic
10 bcdefghi,aic,abifed,ace,adcf,aecijg,afjih,agi,ahgjfcb,fig
10 bcdefghi,aic,abijfed,ace,adcf,aecjig,afih,agi,ahgfjcb,cif
10 bcdefghij,ajigc,abged,ace,adcgf,aeg,afecbih,agi,ahgbj,aib
10 bcdefghi,aihjfec,abed,ace,adcbf,aebjhg,afh,agfjbi,ahb,bhf
10 bcdefghi,aijhfec,abed,ace,adcbf,aebhg,afh,agfbji,ahjb,bih
10 bcdefghi,aihfec,abed,ace,adcbf,aebhjg,afjh,agjfbi,ahb,fhg
10 bcdefghij,ajigec,abed,ace,adcbgf,aeg,afebih,agi,ahgbj,aib
10 bcdefghi,aifdc,abd,acbfe,adf,aedbijg,afjih,agi,ahgjfb,fig
10 bcdefghij,ajgdc,abd,acbge,adgf,aeg,afedbjh,agji,ahj,aihgb
10 bcdefghi,aihfjec,abed,ace,adcbjf,aejbhg,afh,agfbi,ahb,bfe
10 bcdefghi,aihfec,abejd,acje,adjcbf,aebhg,afh,agfbi,ahb,ced
10 bcdefgh,ahijgc,abgfed,ace,adcf,aecg,afcbjih,agib,bhgj,big
10 bcdefgh,ahc,abhd,achfije,adjf,aejidhg,afh,agfdcb,dfj,dife
10 bcdefg,aghedc,abd,acbe,adbhgijf,aejg,afjiehb,bge,egj,eigf
10 bcdefg,agedc,abd,acbe,adbghijf,aejg,afjiheb,egi,ehgj,eigf
10 bcdefg,agedc,abd,acbe,adbghif,aeig,afijheb,egji,ehjgf,gih
10 bcdefgh,ahedc,abd,acbe,adbhijf,aejhg,afh,agfjieb,ehj,eihf
10 bcdefgh,ahifc,abfed,ace,adcf,aecbijhg,afh,agfjib,bhjf,fih
10 bcdefgh,ahedijc,abjid,acibe,adbhf,aehg,afh,agfeb,bdcj,bic
10 bcdefgh,ahfc,abfeijd,acjie,adicf,aecbhg,afh,agfb,cedj,cid
10 bcdefgh,ahc,abhd,achfije,adjif,aeidhg,afh,agfdcb,dfej,die
10 bcdefgh,ahedc,abd,acbe,adbhijf,aejihg,afh,agfieb,ehfj,eif
10 bcdefg,aghfc,abfed,ace,adcf,aecbhig,afijhb,bgjif,fhjg,gih
10 bcdefg,aghijfc,abfed,ace,adcf,aecbjg,afjihb,bgi,bhgj,bigf
10 bcdefg,aghijfc,abfed,ace,adcf,aecbjg,afjhb,bgji,bhj,bihgf
10 bcdefg,aghifc,abfed,ace,adcf,aecbig,afijhb,bgji,bhjgf,gih
10 bcdefgh,ahgijfc,abfed,ace,adcf,aecbjg,afjibh,agb,bgj,bigf
10 bcdefg,aghifjc,abjfed,ace,adcf,aecjbig,afihb,bgi,bhgf,bfc
10 bcdefg,aghijfc,abfed,ace,adcf,aecbjig,afihb,bgi,bhgfj,bif
10 bcdefg,aghifc,abfed,ace,adcf,aecbijg,afjihb,bgi,bhgjf,fig
10 bcdefgh,ahigjdc,abd,acbjgfe,adf,aedg,afdjbih,agib,bhg,bgd
10 bcdefg,aghedc,abd,acbe,adbhigjf,aejg,afjeihb,bgie,ehg,egf
10 bcdefgh,ahgeidc,abd,acbie,adibgjf,aejg,afjebh,agb,bed,egf
10 bcdefgh,aheidc,abd,acbie,adibhjf,aejhg,afh,agfjeb,bed,ehf
10 bcdefghi,aihfdc,abd,acbfje,adjf,aejdbhg,afh,agfbi,ahb,dfe
10 bcdefghi,aihfjdc,abd,acbjfe,adf,aedjbhg,afh,agfbi,ahb,bfd
10 bcdefghi,aigjdc,abd,acbjge,adgf,aeg,afedjbih,agi,ahgb,bgd
10 bcdefgh,ahgc,abgifed,ace,adcf,aecijg,afjicbh,agb,cgjf,fig
10 bcdefgh,ahfiec,abed,ace,adcbijf,aejibhg,afh,agfb,bfje,eif
10 bcdefghij,ajgc,abgd,acgfe,adf,aedg,afdcbjih,agi,ahgj,aigb
10 bcdefghij,ajdc,abd,acbjihgfe,adf,aedg,afdh,agdi,ahdj,aidb
10 bcdefghij,ajihgfdc,abd,acbfe,adf,aedbg,afbh,agbi,ahbj,aib
10 bcdefghij,ajic,abied,ace,adcif,aeig,afih,agi,ahgfecbj,aib
